Chr,Start,End,Gene,Forward or reverse strand,Position,Type,full codons,REGIONS included,Number of bases,,,,,,,
chr4,106157632,106157646,TET2,+,845-849,Includes Q847 clonal hematopoiesis driver mutation,Y,,15,,,,,,,
chr4,106157755,106157769,TET2,+,886-890,Includes Q888 clonal haematopoiesis driver mutation,Y,,15,,,,,,,
chr17,7577500,7577608,TP53,-,225-261,"Includes C238, N239, S241, G245, R248 clonal haematopoiesis driver mutation",Y,,109,,,,,,,
chr17,7578177,7578224,TP53,-,209-224,Includes Y220 clonal haematopoiesis driver mutation,Y,,48,,,,,,,
chr17,7578375,7578461,TP53,-,157-185,"Includes V173, R175, P177, R181 clonal haematopoiesis driver mutations",Y,,87,,,,,,,
chr17,7579327,7579392,TP53,-,99-120,Includes R110 clonal haematopoiesis driver mutation,Y,,66,,,,,,,
chr2,239757070,239757084,TWIST2,+,72-76,Includes E75 candidate for paternal age effect disorder mutation,Y,,15,,,,,,,
chr21,44524449,44524463,U2AF1,-,32-36,Includes S34 clonal haematopoiesis driver mutation,Y,,15,,,,,,,
chr21,44524479,44524493,U2AF1,-,22-26,Includes I24 CH-driver mutation and known developmental disorder mutation,Y,,15,,,,,,,
chr2,234628262,234628276,UGT1A4,+,266-270,includes P268 candidate for paternal age effect disorder mutation,Y,,15,,,,,,,
chrX,48935746,48935754,WDR45,-,01-Mar,Includes M1 candidate for paternal age effect disorder mutation,Y,,9,,,,,,,
chr10,298393,298407,ZMYND11,+,596-602,Includes R600 candidate for paternal age effect disorder mutation,Y,,15,,,,,,,
chr11,6977619,6977633,ZNF215,+,471-475,Includes R473 candidate for paternal age effect disorder mutation,Y,,15,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,3429,,,,,,,
